Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Label,Segment_RuleBased,Cluster,Segment
10209,20,29,362.56,4,2,3,9,423,New Customers,0,Loyal Customers
10210,47,30,364.74,2,2,3,7,223,Hibernating,1,At Risk
10211,10,24,220.92000000000002,5,1,1,7,511,New Customers,2,Lost
10212,46,30,323.40000000000003,2,2,3,7,223,Hibernating,1,At Risk
10213,18,36,526.86,4,4,5,13,445,Champions,3,Champions
10214,40,37,534.27,2,4,5,11,245,Cannot Lose Them,3,Champions
10215,49,44,388.87,2,5,4,11,254,Cannot Lose Them,3,Champions
10216,14,28,302.95,5,1,2,8,512,New Customers,0,Loyal Customers
10217,45,31,417.98999999999995,2,2,4,8,224,Hibernating,1,At Risk
10218,60,23,275.83,1,1,2,4,112,Lost,2,Lost
10219,44,35,268.98,2,3,2,7,232,Hibernating,1,At Risk
10220,43,26,327.77,2,1,3,6,213,Hibernating,2,Lost
10221,33,28,514.5,3,1,5,9,315,Promising,1,At Risk
10222,51,28,281.01,2,1,2,5,212,Lost,2,Lost
10223,55,29,288.77,2,2,2,6,222,Lost,1,At Risk
10224,26,38,497.26,4,4,5,13,445,Champions,3,Champions
10225,29,41,504.81,3,5,5,13,355,Loyal Customers,3,Champions
10226,31,34,253.95999999999998,3,3,1,7,331,Hibernating,1,At Risk
10227,17,25,317.73,4,1,2,7,412,New Customers,2,Lost
10228,45,31,416.44,2,2,4,8,224,Hibernating,1,At Risk
10229,7,19,124.4,5,1,1,7,511,New Customers,2,Lost
10230,3,39,544.94,5,5,5,15,555,Champions,0,Loyal Customers
10231,28,37,509.59000000000003,3,4,5,12,345,Loyal Customers,3,Champions
10232,40,28,283.05,2,1,2,5,212,Lost,2,Lost
10233,54,39,421.97,2,5,4,11,254,Cannot Lose Them,3,Champions
10234,56,35,271.61,2,3,2,7,232,Hibernating,1,At Risk
10235,22,42,386.49,4,5,4,13,454,Champions,3,Champions
10236,46,36,248.34,2,4,1,7,241,Hibernating,1,At Risk
10237,4,35,493.07,5,3,5,13,535,Loyal Customers,0,Loyal Customers
10238,16,31,490.23,5,2,5,12,525,New Customers,0,Loyal Customers
10239,49,29,339.65,2,2,3,7,223,Hibernating,1,At Risk
10240,30,40,247.2,3,5,1,9,351,Hibernating,1,At Risk
10241,60,35,522.52,1,3,5,9,135,At Risk,3,Champions
10242,16,32,506.01,5,2,5,12,525,New Customers,0,Loyal Customers
10243,40,32,400.13,2,2,4,8,224,Hibernating,1,At Risk
10244,24,38,371.58000000000004,4,4,3,11,443,Loyal Customers,3,Champions
10245,13,38,321.05,5,4,3,12,543,Loyal Customers,0,Loyal Customers
10246,20,35,277.3,4,3,2,9,432,Potential Loyalists,0,Loyal Customers
10247,36,30,332.1,3,2,3,8,323,Potential Loyalists,1,At Risk
10248,74,34,295.9,1,3,2,6,132,Hibernating,1,At Risk
10249,40,35,549.0699999999999,2,3,5,10,235,At Risk,3,Champions
10250,11,47,507.68,5,5,5,15,555,Champions,3,Champions
10251,35,31,373.12,3,2,3,8,323,Potential Loyalists,1,At Risk
10252,44,34,468.76,2,3,5,10,235,At Risk,3,Champions
10253,12,37,532.79,5,4,5,14,545,Champions,0,Loyal Customers
10254,9,40,327.35,5,5,3,13,553,Loyal Customers,0,Loyal Customers
10255,114,25,496.09,1,1,5,7,115,Hibernating,1,At Risk
10256,18,34,323.29,4,3,3,10,433,Loyal Customers,0,Loyal Customers
10257,38,36,464.21999999999997,3,4,4,11,344,Loyal Customers,3,Champions
10258,17,35,532.42,4,3,5,12,435,Loyal Customers,3,Champions
10259,5,44,415.52,5,5,4,14,554,Champions,0,Loyal Customers
10260,100,29,173.86,1,2,1,4,121,Lost,2,Lost
10261,32,33,477.37,3,3,5,11,335,Loyal Customers,3,Champions
10262,2,41,558.3,5,5,5,15,555,Champions,0,Loyal Customers
10263,37,38,468.84000000000003,3,4,5,12,345,Loyal Customers,3,Champions
10264,8,28,249.29,5,1,1,7,511,New Customers,0,Loyal Customers
10265,62,36,267.05,1,4,2,7,142,Hibernating,1,At Risk
10266,8,33,374.26,5,3,3,11,533,Loyal Customers,0,Loyal Customers
10267,30,34,476.03,3,3,5,11,335,Loyal Customers,3,Champions
10268,9,32,307.95,5,2,2,9,522,New Customers,0,Loyal Customers
10269,53,32,451.93,2,2,4,8,224,Hibernating,1,At Risk
10270,36,37,598.04,3,4,5,12,345,Loyal Customers,3,Champions
10271,41,36,403.78000000000003,2,4,4,10,244,Cannot Lose Them,3,Champions
10272,45,42,644.02,2,5,5,12,255,Cannot Lose Them,3,Champions
10273,61,29,332.73,1,2,3,6,123,Hibernating,1,At Risk
10274,86,37,358.92,1,4,3,8,143,At Risk,1,At Risk
10275,51,47,480.83,2,5,5,12,255,Cannot Lose Them,3,Champions
10276,29,32,191.48,3,2,1,6,321,Promising,2,Lost
10277,65,37,468.90999999999997,1,4,5,10,145,Cannot Lose Them,3,Champions
10278,78,21,86.71000000000001,1,1,1,3,111,Lost,2,Lost
10279,19,27,228.35,4,1,1,6,411,New Customers,2,Lost
10280,16,37,793.22,5,4,5,14,545,Champions,3,Champions
10281,38,27,283.42,3,1,2,6,312,Promising,2,Lost
10282,43,36,576.09,2,4,5,11,245,Cannot Lose Them,3,Champions
10283,20,34,643.27,4,3,5,12,435,Loyal Customers,3,Champions
10284,38,32,426.93,3,2,4,9,324,Potential Loyalists,1,At Risk
10285,46,33,362.48,2,3,3,8,233,At Risk,1,At Risk
10286,5,30,209.09,5,2,1,8,521,New Customers,0,Loyal Customers
10287,71,31,380.85,1,2,3,6,123,Hibernating,1,At Risk
10288,36,33,534.16,3,3,5,11,335,Loyal Customers,3,Champions
10289,41,36,310.29,2,4,2,8,242,Hibernating,1,At Risk
10290,39,23,331.04999999999995,3,1,3,7,313,Promising,2,Lost
10291,40,26,284.92,2,1,2,5,212,Lost,2,Lost
10292,13,42,393.29,5,5,4,14,554,Champions,0,Loyal Customers
10293,43,31,274.55,2,2,2,6,222,Lost,1,At Risk
10294,39,33,230.25,3,3,1,7,331,Hibernating,1,At Risk
10295,11,40,472.75,5,5,5,15,555,Champions,0,Loyal Customers
10296,4,30,379.73,5,2,3,10,523,New Customers,0,Loyal Customers
10297,16,31,356.9,5,2,3,10,523,New Customers,0,Loyal Customers
10298,51,37,372.74,2,4,3,9,243,At Risk,1,At Risk
10299,12,26,259.67,5,1,2,8,512,New Customers,2,Lost
10300,100,26,319.58,1,1,2,4,112,Lost,1,At Risk
10301,92,26,258.2,1,1,1,3,111,Lost,2,Lost
10302,9,33,286.71,5,3,2,10,532,Potential Loyalists,0,Loyal Customers
10303,13,38,442.94,5,4,4,13,544,Champions,0,Loyal Customers
10304,27,44,561.12,4,5,5,14,455,Champions,3,Champions
10305,23,38,456.12,4,4,4,12,444,Champions,3,Champions
10306,16,37,520.15,5,4,5,14,545,Champions,3,Champions
10307,47,40,331.59000000000003,2,5,3,10,253,At Risk,3,Champions
10308,48,27,218.97,2,1,1,4,211,Lost,2,Lost
10309,43,28,132.08,2,1,1,4,211,Lost,2,Lost
10310,14,32,427.09000000000003,5,2,4,11,524,New Customers,0,Loyal Customers
10311,51,33,247.18,2,3,1,6,231,Hibernating,1,At Risk
10312,12,29,610.4399999999999,5,2,5,12,525,New Customers,0,Loyal Customers
10313,23,32,386.26,4,2,4,10,424,New Customers,1,At Risk
10314,84,22,223.14,1,1,1,3,111,Lost,2,Lost
10315,73,34,579.96,1,3,5,9,135,At Risk,3,Champions
10316,39,34,428.08000000000004,3,3,4,10,334,Loyal Customers,1,At Risk
10317,34,42,464.9,3,5,4,12,354,Loyal Customers,3,Champions
10318,93,26,361.45,1,1,3,5,113,Hibernating,1,At Risk
10319,58,36,279.56,1,4,2,7,142,Hibernating,1,At Risk
10320,39,40,324.6,3,5,3,11,353,Loyal Customers,3,Champions
10321,58,23,266.52,1,1,2,4,112,Lost,2,Lost
10322,41,35,399.26,2,3,4,9,234,At Risk,1,At Risk
10323,55,49,452.11,2,5,4,11,254,Cannot Lose Them,3,Champions
10324,65,31,292.74,1,2,2,5,122,Lost,1,At Risk
10325,31,36,349.59999999999997,3,4,3,10,343,Loyal Customers,1,At Risk
10326,49,42,421.67,2,5,4,11,254,Cannot Lose Them,3,Champions
10327,26,42,393.21,4,5,4,13,454,Champions,3,Champions
10328,33,31,486.90000000000003,3,2,5,10,325,Potential Loyalists,1,At Risk
10329,44,28,208.17,2,1,1,4,211,Lost,2,Lost
10330,14,28,226.18,5,1,1,7,511,New Customers,2,Lost
10331,65,25,182.93,1,1,1,3,111,Lost,2,Lost
10332,11,47,427.43,5,5,4,14,554,Champions,3,Champions
10333,17,32,507.26,4,2,5,11,425,New Customers,0,Loyal Customers
10334,14,38,237.06,5,4,1,10,541,Hibernating,0,Loyal Customers
10335,75,36,394.46999999999997,1,4,4,9,144,Cannot Lose Them,1,At Risk
10336,35,39,374.82,3,5,3,11,353,Loyal Customers,3,Champions
10337,56,37,395.3,2,4,4,10,244,Cannot Lose Them,1,At Risk
10338,56,25,215.01,2,1,1,4,211,Lost,2,Lost
10339,20,34,471.09999999999997,4,3,5,12,435,Loyal Customers,3,Champions
10340,51,29,239.11,2,2,1,5,221,Lost,2,Lost
10341,60,31,383.8,1,2,4,7,124,Hibernating,1,At Risk
10342,71,29,267.61,1,2,2,5,122,Lost,1,At Risk
10343,24,34,330.89,4,3,3,10,433,Loyal Customers,1,At Risk
10344,10,39,298.74,5,5,2,12,552,Potential Loyalists,0,Loyal Customers
10345,9,32,213.65,5,2,1,8,521,New Customers,0,Loyal Customers
10346,50,24,237.44,2,1,1,4,211,Lost,2,Lost
10347,65,29,382.22,1,2,3,6,123,Hibernating,1,At Risk
10348,30,23,169.41,3,1,1,5,311,Promising,2,Lost
10349,96,30,200.28,1,2,1,4,121,Lost,2,Lost
10350,14,28,433.19,5,1,4,10,514,New Customers,0,Loyal Customers
10351,27,37,326.36,4,4,3,11,443,Loyal Customers,1,At Risk
10352,22,32,418.88,4,2,4,10,424,New Customers,1,At Risk
10353,18,32,340.37,4,2,3,9,423,New Customers,0,Loyal Customers
10354,47,32,488.02000000000004,2,2,5,9,225,Hibernating,1,At Risk
10355,22,36,362.74,4,4,3,11,443,Loyal Customers,3,Champions
10356,49,27,286.02,2,1,2,5,212,Lost,2,Lost
10357,90,33,246.3,1,3,1,5,131,Hibernating,1,At Risk
10358,7,42,392.65999999999997,5,5,4,14,554,Champions,0,Loyal Customers
10359,45,43,601.97,2,5,5,12,255,Cannot Lose Them,3,Champions
10360,60,31,371.21999999999997,1,2,3,6,123,Hibernating,1,At Risk
10361,95,22,188.17000000000002,1,1,1,3,111,Lost,2,Lost
10362,10,35,517.01,5,3,5,13,535,Loyal Customers,0,Loyal Customers
10363,102,37,578.88,1,4,5,10,145,Cannot Lose Them,3,Champions
10364,87,36,564.98,1,4,5,10,145,Cannot Lose Them,3,Champions
10365,59,23,510.39,1,1,5,7,115,Hibernating,1,At Risk
10366,29,26,292.75,3,1,2,6,312,Promising,2,Lost
10367,8,33,365.47,5,3,3,11,533,Loyal Customers,0,Loyal Customers
10368,57,28,242.78,1,1,1,3,111,Lost,2,Lost
10369,7,30,462.03,5,2,4,11,524,New Customers,0,Loyal Customers
10370,5,28,288.24,5,1,2,8,512,New Customers,0,Loyal Customers
10371,25,28,322.69,4,1,3,8,413,New Customers,1,At Risk
10372,11,32,306.36,5,2,2,9,522,New Customers,0,Loyal Customers
10373,28,31,516.6,3,2,5,10,325,Potential Loyalists,3,Champions
10374,33,34,305.79,3,3,2,8,332,Potential Loyalists,1,At Risk
10375,26,28,232.59,4,1,1,6,411,New Customers,2,Lost
10376,26,36,345.44,4,4,3,11,443,Loyal Customers,1,At Risk
10377,25,27,401.05,4,1,4,9,414,New Customers,1,At Risk
10378,66,27,279.38,1,1,2,4,112,Lost,2,Lost
10379,3,27,246.93,5,1,1,7,511,New Customers,0,Loyal Customers
10380,13,35,472.03000000000003,5,3,5,13,535,Loyal Customers,0,Loyal Customers
10381,56,28,381.59,2,1,3,6,213,Hibernating,1,At Risk
10382,22,30,343.51,4,2,3,9,423,New Customers,1,At Risk
10383,21,35,351.18,4,3,3,10,433,Loyal Customers,0,Loyal Customers
10384,30,35,234.94,3,3,1,7,331,Hibernating,1,At Risk
10385,32,43,450.31,3,5,4,12,354,Loyal Customers,3,Champions
10386,44,47,502.58,2,5,5,12,255,Cannot Lose Them,3,Champions
10387,62,41,696.81,1,5,5,11,155,Cannot Lose Them,3,Champions
10388,27,31,287.15000000000003,4,2,2,8,422,New Customers,1,At Risk
10389,67,31,349.88,1,2,3,6,123,Hibernating,1,At Risk
10390,17,33,310.64,4,3,2,9,432,Potential Loyalists,0,Loyal Customers
10391,12,36,392.33,5,4,4,13,544,Champions,0,Loyal Customers
10392,36,33,407.97,3,3,4,10,334,Loyal Customers,1,At Risk
10393,78,34,623.9200000000001,1,3,5,9,135,At Risk,3,Champions
10394,55,23,191.76,2,1,1,4,211,Lost,2,Lost
10395,65,23,300.34000000000003,1,1,2,4,112,Lost,2,Lost
10396,26,23,350.23,4,1,3,8,413,New Customers,2,Lost
10397,31,38,371.33,3,4,3,10,343,Loyal Customers,3,Champions
